"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     
          0,           0,          99,      -4.659692734,      -4.318871228,      -4.348226961,      -7.554735576,      -1.214812294
          1,           0,          99,      -5.321403036,      -4.731326088,      -4.735630275,      -4.645909134,       1.220037692
          2,           0,          99,      -5.304039357,      -4.368848062,      -4.488094663,      -5.445184663,      0.4606977459
          3,           0,          99,      -5.468027058,       -4.51543453,      -4.593449359,      -6.618251084,      -1.406104925
          4,           0,          99,      -5.458674797,      -4.542468846,       -4.62608244,      -6.296548808,      -1.479070614
          5,           0,          99,      -5.601942767,      -4.580389363,      -4.712619459,      -6.339187063,      -1.566941472
          6,           0,          99,      -5.547662597,      -4.540359849,      -4.695829202,      -6.345852493,      -1.553356958
          7,           0,          99,      -5.749808227,      -4.561229641,      -4.707706525,      -6.140380066,      -1.631777617
          8,           0,          99,      -5.635962099,      -4.549608953,      -4.731504048,      -6.129943595,      -1.782606429
          9,           0,          99,      -5.819118317,      -4.575580778,      -4.732559316,      -6.207036576,      -1.779598334
         10,           0,          99,      -5.764526575,      -4.569424984,       -4.76818739,      -6.103911527,      -1.840709987
         11,           0,          99,      -5.902222141,      -4.595995809,      -4.810976415,      -6.159549917,      -1.851943533
         12,           0,          99,      -5.921216449,      -4.620062016,      -4.825025779,      -6.081142625,      -1.967721237
         13,           0,          99,      -6.004408691,      -4.636399132,      -4.842817062,      -6.132044509,      -1.933945678
         14,           0,          99,      -6.107401316,       -4.65112517,      -4.861846737,      -6.100429684,      -2.027323868
         15,           0,          99,      -6.142412591,      -4.666983867,       -4.86068169,      -6.076107383,      -2.065485912
         16,           0,          99,      -6.187918777,      -4.693121636,      -4.904892253,      -6.091658774,       -2.06523237
         17,           0,          99,      -6.176001245,        -4.7173017,      -4.911768773,       -6.09748044,      -2.057733626
         18,           0,          99,      -6.165311678,      -4.733486788,       -4.93123809,      -6.045626952,      -2.176273535
         19,           0,          99,      -6.212557907,      -4.757712498,      -4.956562343,      -6.073628318,      -2.106466168
